A  a
APPARTENAIT  a p a r t x^ n e^ t
APPARTENAIT  a p a r t x^ n e^
APPARTENAIT-IL  a p a r t x^ n e^ t i l
APPARTENANT  a p a r t x^ n a~ t
APPARTENIR  a p a r t x^ n i r
APPARTENU  a p a r t x^ n y
APPARTIENDRA-T-IL  a p a r t j e~ d r a t i l
APPARTIENNENT  a p a r t j e^ n
APPARTIENNENT  a p a r t j e^ n t
APPARTIENS  a p a r t j e~
APPARTIENT  a p a r t j e~
APPARTIENT  a p a r t j e~ t
APPARUES  a p a r y
APPARUT  a p a r y t
APPARUT  a p a r y
APPEL  a p e^ l q
APPEL  a p e^ l
APPELAIT  a p x^ l e^
APPELAIT  a p l e^
APPELAIT  a p l e^ t
APPELANT  a p x^ l a~
APPELER  a p x^ l e
APPELER  a p x^ l e r
APPELEZ  a p x^ l e
APPELEZ-LE  a p x^ l e l x^
APPELEZ-MOI  a p l e m w a
APPELEZ-MOI  a p x^ l e m w a
APPELLE  a p e^ l
APPELLE  a p e^ l q
APPELLE-LA  a p e^ l l a
APPELLE-MOI  a p e^ l m w a
APPELLENT  a p e^ l
APPELLERAI  a p e l x^ r e
APPELONS  a p x^ l o~ z
APPELONS  a p x^ l o~
APPELS  a p e^ l
APPELÂT  a p x^ l a t
APPELÉ  a p x^ l e
APPELÉ  a p l e
APPELÉE  a p x^ l e
APPELÉE  a p l e
APPELÉES  a p x^ l e
APPENDICE  a p e~ d i s
APPENDUS  a p e~ d y
APPESANTIE  a p x^ z a~ t i
APPESANTIR  a p x^ z a~ t i r
APPLAUDISSEMENTS  a p l o d i s m a~
APPLICABLE  a p l i k a b l
APPLIQUAIT  a p l i k e^ t
APPLIQUAIT  a p l i k e^
APPLIQUANT  a p l i k a~
APPLIQUER  a p l i k e
APPLIQUÉ  a p l i k e
APPORTA  a p o^ r t a
APPORTAIENT  a p o^ r t e^ t
APPORTAIENT  a p o^ r t e^
APPORTAIT  a p o^ r t e^
APPORTANT  a p o^ r t a~
APPORTANT  a p o^ r t a~ t
APPORTE  a p o^ r t q
APPORTE  a p o^ r t
APPORTER  a p o^ r t e
APPORTER  a p o^ r t e r
APPORTERA  a p o^ r t x^ r a
APPORTERAIT  a p o^ r t x^ r e^
APPORTERAS  a p o^ r t x^ r a
APPORTEZ  a p o^ r t e
APPORTÈRENT  a p o^ r t e^ r
APPORTÈRENT  a p o^ r t e^ r t
APPORTÉ  a p o^ r t e
APPORTÉE  a p o^ r t e
APPORTÉES  a p o^ r t e
APPORTÉS  a p o^ r t e
APPRENAIENT  a p r x^ n e^
APPRENAIT  a p r x^ n e^ t
APPRENAIT  a p r x^ n e^
APPRENANT  a p r x^ n a~
APPRENANT  a p r x^ n a~ t
APPREND  a p r a~
APPRENDRA  a p r a~ d r a
APPRENDRE  a p r a~ d r q
APPRENDRE  a p r a~ d r
APPRENDREZ  a p r a~ d r e z
APPRENDRONS-NOUS  a p r a~ d r o~ n u
APPRENEZ  a p r x^ n e
APPRENTI  a p r a~ t i
APPRIS  a p r i
APPRIT  a p r i
APPRIT  a p r i t
APPRIVOISAIS  a p r i v w a z e^
APPROBATION  a p r o^ b a s j o~
APPROCHA  a p r o^ s^ a
APPROCHAIT  a p r o^ s^ e^
APPROCHANT  a p r o^ s^ a~
APPROCHE  a p r o^ s^
APPROCHER  a p r o^ s^ e
APPROCHES  a p r o^ s^
APPROCHONS  a p r o^ s^ o~
APPROUVAIENT  a p r u v e^
APPROUVAIT  a p r u v e^
APPROUVANT  a p r u v a~
APPROUVER  a p r u v e
APPRÉCIABLE  a p r e s j a b l
APPRÉCIE  a p r e s i
APPRÉCIER  a p r e s j e
APPRÉCIÉE  a p r e s j e
APPRÉHENSION  a p r e a~ s j o~
APPRÊTS  a p r e^
APPUI  a p h i
APPUIE  a p h i
APPUYA  a p h i j a
APPUYAIT  a p h i j e^ t
APPUYANT  a p h i j a~
APPUYÉ  a p h i j e
APPUYÉE  a p h i j e
APPUYÉES  a p h i j e
APPUYÉS  a p h i j e
APPÂT  a p a
APPÉTISSANTE  a p e t i s a~ t
APPÉTIT  a p e t i
APPÉTITS  a p e t i
APRÈS  a p r e^
APRÈS  a p r e^ z
APRÈS-DEMAIN  a p r e^ d x^ m e~
APRÈS-DEMAIN  a p r e^ d m e~
APRÈS-DÎNÉE  a p r e^ d i n e
APRÈS-MIDI  a p r e^ m i d i
APTE  a p t
APTITUDES  a p t i t y d
AQUILIN  a k i l e~
ARABELLE  a r a b e^ l
ARABES  a r a b q
ARABESQUE  a r a b e^ s k q
ARABESQUES  a r a b e^ s k q
ARABESQUES  a r a b e^ s k
ARAIGNÉE  a r e n j e
ARATOIRES  a r a t w a r
ARBITRE  a r b i t r q
ARBRE  a r b r
ARBRE  a r b r q
ARBRES  a r b r
ARBRES  a r b r q
ARBRES  a r b r z
ARBRES  a r b r x^ z
ARBRES  a r b r x^
ARBRISEAU  a r b r i z o
ARBUSTE  a r b y s t
ARC  a r k
ARC-BOUTÉ  a r k b u t e
ARCADES  a r k a d q
ARCHES  a r s^ q
ARCHET  a r s^ e^
ARDEMMENT  a r d a m a~ t
ARDEMMENT  a r d a m a~
ARDENT  a r d a~
ARDENTE  a r d a~ t q
ARDENTE  a r d a~ t
ARDENTES  a r d a~ t
ARDENTS  a r d a~
ARDENTS  a r d a~ z
ARDEUR  a r d x^ r
ARDEURS  a r d x^ r
ARDOISE  a r d w a z
ARGENT  a r z^ a~
ARGENTAIENT  a r z^ a~ t e^
ARGENTERIE  a r z^ a~ t x^ r i
ARGENTIN  a r z^ a~ t e~
ARGENTÉ  a r z^ a~ t e
ARGENTÉE  a r z^ a~ t e
ARGENTÉS  a r z^ a~ t e
ARGOT  a r g o
ARISTOCRATIQUE  a r i s t o^ k r a t i k
ARISTOCRATIQUES  a r i s t o^ k r a t i k z
ARLEQUIN  a r l x^ k e~
ARLEQUINS  a r l x^ k e~
ARMAIT  a r m e^
ARME  a r m q
ARME  a r m
ARMES  a r m
ARMES  a r m q
ARMOIRE  a r m w a r
ARMOIRES  a r m w a r
ARMÉ  a r m e
ARMÉE  a r m e
ARMÉES  a r m e
ARMÉS  a r m e
ARNOUVILLE  a r n u v i l q
ARNOUVILLE  a r n u v i l
AROMATIQUE  a r o^ m a t i k
ARPIONS  a r p j o~
ARQUEPINCER  a r k x^ p e~ s e^ r
ARQUÉ  a r k e
ARRACHA  a r a s^ a
ARRACHANT  a r a s^ a~
ARRACHER  a r a s^ e r
ARRACHER  a r a s^ e
ARRACHERAI  a r a s^ r e
ARRACHERAIS  a r a s^ r e^
ARRACHERAIT  a r a s^ x^ r e^
ARRACHÉ  a r a s^ e
ARRACHÉE  a r a s^ e
ARRACHÉES  a r a s^ e
ARRACHÉS  a r a s^ e
ARRANGEANTE  a r a~ z^ a~ t
ARRANGEMENTS  a r a~ z^ m a~
ARRANGEZ  a r a~ z^ e
ARRANGEZ-VOUS  a r a~ z^ e v u
ARRANGEZ-VOUS  a r a~ z^ e v u z
ARRANGÉ  a r a~ z^ e
ARRANGÉES  a r a~ z^ e
ARRESTATION  a r e^ s t a s j o~
ARRIVA  a r i v a
ARRIVAIENT  a r i v e^ t
ARRIVAIENT  a r i v e^
ARRIVAIT  a r i v e^
ARRIVAIT  a r i v e^ t
ARRIVANT  a r i v a~
ARRIVANT  a r i v a~ t
ARRIVE  a r i v
ARRIVE  a r i v q
ARRIVE-T-IL  a r i v t i l
ARRIVENT  a r i v
ARRIVER  a r i v e
ARRIVER  a r i v e r
ARRIVERA  a r i v x^ r a
ARRIVERA  a r i v r a
ARRIVERAIT  a r i v r e^
ARRIVEZ  a r i v e
ARRIVONS  a r i v o~
ARRIVONS  a r i v o~ z
ARRIVÈRENT  a r i v e^ r t
ARRIVÈRENT  a r i v e^ r
ARRIVÉ  a r i v e
ARRIVÉE  a r i v e
ARRIVÉES  a r i v e
ARRIVÉS  a r i v e z
ARRIVÉS  a r i v e
ARRIÈRE  a r j e^ r
ARRIÈRE-PENSÉE  a r j e^ r p a~ s e
ARRIÉRÉ  a r j e r e
ARRIÉRÉS  a r j e r e
ARRONDI  a r o~ d i
ARRONDIE  a r o~ d i
ARRONDIES  a r o~ d i
ARRONDISSANT  a r o~ d i s a~
ARRONDISSEMENT  a r o~ d i s m a~
ARROSÉ  a r o z e
ARROYOS  a r o^ j o
ARRÊTA  a r e^ t a
ARRÊTAIT  a r e^ t e^
ARRÊTANT  a r e^ t a~
ARRÊTE  a r e^ t
ARRÊTE-TOI  a r e^ t t w a
ARRÊTER  a r e t e
ARRÊTER  a r e t e r
ARRÊTEZ  a r e^ t e
ARRÊTÉ  a r e t e
ARRÊTÉE  a r e t e
ARSENAUX  a r s x^ n o
ARSENIC  a r s x^ n i k
ARSÈNE  a r s e^ n q
ART  a r
ARTABAN  a r t a b a~
ARTICULA  a r t i k y l a
ARTICULÉE  a r t i k y l e
ARTICULÉS  a r t i k y l e
ARTIFICIELLES  a r t i f i s j e^ l
ARTISAN  a r t i z a~
ARTISANS  a r t i z a~
ARTISTE  a r t i s t
ARTISTES  a r t i s t
ARTS  a r
ARTÈRES  a r t e^ r
ARÊTES  a r e^ t
AS  a
AS  a z
AS-TU  a t y
ASCENDANT  a s a~ d a~
ASCENSEUR  a s a~ s x^ r
ASCENSION  a s a~ s j o~
ASILE  a z i l
ASILE  a z i l q
ASILES  a z i l q
ASNIÈRES  a s n j e^ r
ASPECT  a s p e^
ASPECTS  a s p e^
ASPIRA  a s p i r a
ASPIRAIT  a s p i r e^
ASPIRANT  a s p i r a~
ASPIRATIONS  a s p i r a s j o~
ASSAILLI  a s a j i
ASSAILLIE  a s a j i
ASSAISONNEMENT  a s e^ z o^ n m a~
ASSASSIN  a s a s e~
ASSASSINAT  a s a s i n a
ASSASSINER  a s a s i n e
ASSASSINS  a s a s e~
ASSASSINÉ  a s a s i n e
ASSEMBLÉS  a s a~ b l e
ASSENÉS  a s e n e
ASSEOIR  a s w a r
ASSERTION  a s e^ r s j o~
ASSERTIONS  a s e^ r s j o~
ASSEYEZ  a s e j e z
ASSEYEZ-VOUS  a s e j e v u
ASSEYONS-NOUS  a s e j o~ n u z
ASSEZ  a s e
ASSEZ  a s e z
ASSEZ  a s e^
ASSIEDS-TOI  a s j e t w a
ASSIETTE  a s j e^ t
ASSIETTES  a s j e^ t q
ASSIETTES  a s j e^ t
ASSIGNANT  a s i n j a~
ASSIGNÉ  a s i n j e
ASSIMILÉ  a s i m i l e
ASSIS  a s i
ASSIS  a s i z
ASSISE  a s i z
ASSISE  a s i z q
ASSISES  a s i z q
ASSISES  a s i z
ASSISTER  a s i s t e
ASSISTER  a s i s t e r
ASSISTÉ  a s i s t e
ASSIÉGEANT  a s j e z^ a~
ASSIÉGÉ  a s j e z^ e
ASSOCIATION  a s o^ s j a s j o~
ASSOCIÉ  a s o^ s j e
ASSOCIÉE  a s o^ s j e
ASSOMBRIE  a s o~ b r i
ASSOMMAIS  a s o^ m e^
ASSOMMANTS  a s o^ m a~
ASSOMMER  a s o^ m e
ASSOMMÉ  a s o^ m e
ASSORTIR  a s o^ r t i r
ASSOUPLIR  a s u p l i r
ASSOURDISSANT  a s u r d i s a~
ASSOUVIES  a s u v i
ASSOUVISSEMENTS  a s u v i s m a~ z
ASSUJETTIE  a s y z^ e^ t i
ASSUJETTISSEZ  a s y z^ e t i s e
ASSURAIT  a s y r e^
ASSURANCE  a s y r a~ s
ASSURE  a s y r
ASSURER  a s y r e
ASSURER  a s y r e r
ASSURÉ  a s y r e
ASSURÉE  a s y r e
ASSURÉES  a s y r e
ASTHON  a s t o~
ASTOR  a s t o^ r
ASTUCIEUX  a s t y s j x
ATELIER  a t x^ l i j e
ATELIER  a t x^ l j e
ATHLÉTIQUE  a t l e t i k
ATMOSPHÈRE  a t m o^ s f e^ r
ATRABILAIRE  a t r a b i l e^ r
ATROCE  a t r o^ s
ATROCES  a t r o^ s
ATROCITÉ  a t r o^ s i t e
ATROCITÉS  a t r o^ s i t e
ATTABLÉS  a t a b l e
ATTABLÉS  a t a b l e z
ATTACHA  a t a s^ a
ATTACHAIENT  a t a s^ e^
ATTACHAIT  a t a s^ e^ t
ATTACHAIT  a t a s^ e^
ATTACHANT  a t a s^ a~
ATTACHANTE  a t a s^ a~ t
ATTACHE  a t a s^
ATTACHEMENT  a t a s^ m a~
ATTACHEMENT  a t a s^ x^ m a~
ATTACHER  a t a s^ e r
ATTACHER  a t a s^ e
ATTACHERA  a t a s^ x^ r a
ATTACHÉ  a t a s^ e
ATTACHÉE  a t a s^ e
ATTACHÉS  a t a s^ e
ATTAQUABLE  a t a k a b l
ATTAQUANT  a t a k a~
ATTAQUE  a t a k
ATTAQUER  a t a k e
ATTAQUES  a t a k
ATTAQUEZ  a t a k e
ATTAQUEZ-MOI  a t a k e m w a
ATTAQUÉ  a t a k e
ATTAQUÉE  a t a k e
ATTARDÉ  a t a r d e
ATTEIGNAIENT  a t e n j e^
ATTEIGNAIT  a t e n j e^
ATTEIGNENT  a t e n~ x^ t
ATTEIGNIT  a t e^ n~ i
ATTEINDRA  a t e~ d r a
ATTEINDRE  a t e~ d r q
ATTEINDRE  a t e~ d r
ATTEINT  a t e~
ATTEINTE  a t e~ t
ATTEINTS  a t e~
ATTELLE  a t e^ l q
ATTELÉE  a t x^ l e
ATTELÉE  a t l e
ATTELÉS  a t x^ l e
ATTEND  a t a~
ATTEND-IL  a t a~ t i l
ATTENDAIENT  a t a~ d e^
ATTENDAIT  a t a~ d e^
ATTENDAIT  a t a~ d e^ t
ATTENDANT  a t a~ d a~
ATTENDE  a t a~ d
ATTENDEZ  a t a~ d e
ATTENDEZ-MOI  a t a~ d e m w a
ATTENDIEZ  a t a~ d j e
ATTENDIEZ  a t a~ d j e z
ATTENDIONS  a t a~ d j o~ z
ATTENDIT  a t a~ d i
ATTENDIT  a t a~ d i t
ATTENDONS  a t a~ d o~
ATTENDONS  a t a~ d o~ z
ATTENDRAI  a t a~ d r e
ATTENDRAI-JE  a t a~ d r e z^
ATTENDRAS  a t a~ d r a
ATTENDRE  a t a~ d r q
ATTENDRE  a t a~ d r
ATTENDRE  a t a~ d r x^
ATTENDRI  a t a~ d r i
ATTENDRIE  a t a~ d r i
ATTENDRIR  a t a~ d r i r
ATTENDRIRAIT  a t a~ d r i r e^
ATTENDRISSEMENT  a t a~ d r i s m a~
ATTENDRONS  a t a~ d r o~
ATTENDRONS  a t a~ d r o~ z
ATTENDS  a t a~
ATTENDU  a t a~ d y
ATTENTAT  a t a~ t a
ATTENTATS  a t a~ t a
ATTENTE  a t a~ t
ATTENTIF  a t a~ t i f
ATTENTION  a t a~ s j o~
ATTENTIONS  a t a~ s j o~ z
ATTENTIVE  a t a~ t i v
ATTENTIVEMENT  a t a~ t i v m a~
ATTENTIVEMENT  a t a~ t i v m a~ t
ATTENTIVEMENT  a t a~ t i v x^ m a~
ATTERRE  a t e r
ATTERRÉ  a t e r e
ATTERRÉE  a t e r e
ATTIFÉE  a t i f e
ATTIRA  a t i r a
ATTIRAIT  a t i r e^
ATTIRANT  a t i r a~
ATTIRE  a t i r
ATTIRER  a t i r e
ATTIRER  a t i r e r
ATTIRERAIT  a t i r x^ r e^
ATTIRÉ  a t i r e
ATTIRÉES  a t i r e
ATTITUDE  a t i t y d
ATTITUDE  a t i t y d q
ATTITUDES  a t i t y d q
ATTRAIT  a t r e^
ATTRAPE  a t r a p
ATTRAYANT  a t r e^ j a~
ATTRAYANTE  a t r e^ j a~ t
ATTRIBUANT  a t r i b y a~
ATTRISTAIS  a t r i s t e^
ATTRISTERAIT  a t r i s t x^ r e^ t
ATTRISTÉ  a t r i s t e
ATTRISTÉE  a t r i s t e
AU  o
AU-DEDANS  o d x^ d a~
AU-DEHORS  o d x^ o^ r
AU-DESSOUS  o d x^ s u
AU-DESSUS  o d x^ s y
AUBAINE  o b e^ n
AUBAINES  o b e^ n
AUBERGE  o b e^ r z^ q
AUBIERS  o b j e
AUCUN  o k x~
AUCUN  o k x~ n
AUCUNE  o k y n
AUCUNE  o k y n q
AUCUNEMENT  o k y n x^ m a~
AUDACE  o d a s
AUDACIEUSE  o d a s j x z
AUDACIEUSEMENT  o d a s j x z m a~ t
AUDACIEUX  o d a s j x
AUDACIEUX  o d a s j x z
AUDIENCES  o d j a~ s
AUDIENCES  o d j a~ s q
AUDITIF  o d i t i f
AUGMENTA  o g m a~ t a
AUGMENTAIT  o g m a~ t e^ t
AUGMENTAIT  o g m a~ t e^
AUGMENTE  o g m a~ t
AUGMENTENT  o g m a~ t
AUGMENTER  o g m a~ t e
AUGMENTERONT  o g m a~ t x^ r o~
AUGMENTÉ  o g m a~ t e
AUGURANT  o g y r a~
AUGURE  o g y r
AUJOURD'HUI  o z^ u r d h i
AUMÔNE  o m o n
AUMÔNE  o m o n q
AUMÔNE-LÀ  o m o n l a
AUMÔNES  o m o n q
AUMÔNIÈRE  o m o n j e^ r
AUNE  o n q
AUPARAVANT  o p a r a v a~
AUPARAVANT  o p a r a v a~ t
AUPRÈS  o p r e^
AUQUEL  o k e^ l
AURA  o^ r a
AURA-T-IL  o r a t i l
AURAI  o^ r e
AURAIENT  o^ r e^
AURAIENT  o^ r e^ t
AURAIENT-ILS  o^ r e^ t i l
AURAIS  o^ r e^ z
AURAIS  o^ r e^
AURAIS-JE  o^ r e^ z^
AURAIT  o^ r e^
AURAIT  o^ r e^ t
AURAIT-IL  o^ r e^ t i l
AURAS  o^ r a
AURAS  o^ r a z
AUREZ  o r e
AUREZ  o r e z
AURIEZ  o^ r j e
AURIEZ-VOUS  o^ r j e v u
AURIONS  o r j o~
AURONS  o r o~
AURONS  o r o~ z
AURONT  o^ r o~
AURONT  o^ r o~ t
AURORE  o^ r o^ r
AURÉOLE  o^ r e o^ l
AUSPICES  o s p i s
AUSSI  o s i
AUSSITÔT  o s i t o
AUSSITÔT  o s i t o t
AUSTÈRE  o s t e^ r
AUTANT  o t a~
AUTANT  o t a~ t
AUTEUR  o t x^ r
AUTEURS  o t x^ r
AUTEURS  o t x^ r z
AUTOMNE  o t o^ n q
AUTORISÉES  o t o^ r i z e
AUTORITÉ  o t o^ r i t e
AUTRE  o t r
AUTRE  o t r q
AUTRE  o t r x^
AUTREFOIS  o t r x^ f w a
AUTREFOIS  o t r x^ f w a z
AUTREMENT  o t r x^ m a~
AUTREMENT  o t r x^ m a~ t
AUTRES  o t r
AUTRES  o t r q
AUTRES  o t r x^ z
AUTRES  o t r z
AUTRES  o t r x^
AUVENTS  o v a~
AUX  o
AUX  o z
AUXQUELLES  o k e^ l
AUXQUELLES  o k e^ l z
AUXQUELLES  o k e^ l q
AUXQUELLES  o k e^ l q z
AUXQUELLES  o k e l
AUXQUELS  o k e^ l z
AUXQUELS  o k e^ l
AVAIENT  a v e^
AVAIENT  a v e^ t
AVAIS  a v e^ z
AVAIS  a v e^
AVAIS-JE  a v e^ z^
AVAIT  a v e^
AVAIT  a v e^ t
AVAIT-ELLE  a v e^ t e^ l q
AVAIT-ELLE  a v e^ t e^ l
AVAIT-IL  a v e^ t i l
AVAIT-IL  a v e^ t i l q
AVAIT-ON  a v e^ t o~
AVALA  a v a l a
AVALAIT  a v a l e^
AVALAIT  a v a l e^ t
AVALANT  a v a l a~
AVALER  a v a l e
AVALOIR  a v a l w a r
AVANCE  a v a~ s
AVANCEMENT  a v a~ s m a~
AVANCER  a v a~ s e
AVANCES  a v a~ s
AVANCÉ  a v a~ s e
AVANCÉES  a v a~ s e
AVANT  a v a~
AVANT  a v a~ t
AVANT-BRAS  a v a~ b r a
AVANT-HIER  a v a~ t j e^ r
AVANT-HIER  a v a~ j e^ r
AVANTAGE  a v a~ t a z^
AVANTAGE  a v a~ t a z^ q
AVANTAGES  a v a~ t a z^
AVANTAGES  a v a~ t a z^ q
AVANTAGEUSE  a v a~ t a z^ x z
AVANTAGEUX  a v a~ t a z^ x
AVANÇA  a v a~ s a
AVANÇANT  a v a~ s a~
AVANÇONS  a v a~ s o~
AVARE  a v a r
AVARES  a v a r
AVARIES  a v a r i
AVE  a v e
AVEC  a v e^ k
AVEC  a v e^ k q
AVENANTE  a v x^ n a~ t
AVENANTES  a v x^ n a~ t
AVENIR  a v n i r
AVENIR  a v x^ n i r
AVENTURANT  a v a~ t y r a~
AVENTURE  a v a~ t y r
AVENTURES  a v a~ t y r
AVENTUREUSE  a v a~ t y r x z
AVENTUREUX  a v a~ t y r x
AVENUE  a v x n y
AVENUE  a v x^ n y
AVERSION  a v e^ r s j o~
AVERSIONS  a v e^ r s j o~
AVERTI  a v e^ r t i
AVERTIE  a v e^ r t i
AVERTIR  a v e^ r t i r
AVERTIRA  a v e^ r t i r a
AVERTISSEMENT  a v e^ r t i s m a~
AVERTISSEMENTS  a v e^ r t i s m a~
AVERTISSONS  a v e^ r t i s o~
AVEU  a v x
AVEUGLE  a v x^ g l q
AVEUGLE  a v x^ g l
AVEUGLEMENT  a v x^ g l x^ m a~
AVEUGLES  a v x^ g l q
AVEUGLÉ  a v x^ g l e
AVEUGLÉE  a v x^ g l e
AVEUGLÉMENT  a v x^ g l e m a~
AVEUGLÉMENT  a v x g l e m a~
AVEUX  a v x
AVEZ  a v e
AVEZ  a v e z
AVEZ-VOUS  a v e v u
AVEZ-VOUS  a v e v u z
AVIDE  a v i d q
AVIDITÉ  a v i d i t e
AVIEZ  a v j e
AVIEZ  a v j e z
AVILIE  a v i l i
AVIONS  a v j o~
AVIONS  a v j o~ z
AVIS  a v i
AVISANT  a v i z a~ t
AVISÉ  a v i z e
AVISÉE  a v i z e
AVOCAT  a v o^ k a
AVOCATE  a v o^ k a t
AVOCATS  a v o^ k a
AVOINE  a v w a n
AVOIR  a v w a r
AVOISINE  a v w a z i n q
AVONS  a v o~
AVONS  a v o~ z
AVORTON  a v o^ r t o~
AVOUA  a v w a
AVOUAIT  a v w e^ t
AVOUE  a v u
AVOUE-MOI  a v u m w a
AVOUER  a v w e
AVOUER  a v w e r
AVOUERA  a v u r a
AVOUERAI  a v u r e
AVOUEREZ  a v u r e
AVOUEZ  a v w e
AVOUEZ-LE  a v w e l x^
AVOUEZ-MOI  a v w e m w a
AVOUÉ  a v w e
AVOUÉS  a v w e
AVRIL  a v r i l q
AVRIL  a v r i l
AYANT  a j a~ t
AYANT  e^ j a~
AYANT  e^ j a~ t
AYANT  a j a~
AYEZ  e^ j e
AYONS  e^ j o~
AZOR  a z o^ r
AZURÉ  a z y r e
AZURÉE  a z y r e
AÉRIEN  a e r j e~
AÉROCAB  a e r o k a b
AÉRÉE  a e r e
AÎNÉ  e n e
AÎNÉE  e n e
AÏEULE  a j x^ l
BA  b a
BABIL  b a b i l
BABILLARDE  b a b i j a r d q
BABILLARDES  b a b i j a r d q
BABILLE  b a b i j
BABOUCHES  b a b u s^
BACCALAURÉAT  b a k a l o^ r e a
BACCHANAL  b a k a n a l
BACCHUS  b a k y s
BACHELIERS  b a s^ x^ l j e
BACHELIÈRE  b a s^ x^ l j e^ r
BACHELIÈRES  b a s^ x^ l j e^ r
BACHOT  b a s^ o
BADAUDS  b a d o
BADE  b a d q
BADINER  b a d i n e r
BADINOT  b a d i n o
BAGAGE  b a g a z^
BAGNE  b a n j q
BAGNE  b a n j
BAGNE  b a n~ q
BAGNE  b a n~
BAGUES  b a g q
BAGUETTE  b a g e^ t
BAH  b a
BAHUTS  b a y
BAI  b e^
BAIE  b e^
BAIES  b e^
BAIGNÉ  b e n j e
BAIGNÉES  b e n j e
BAIGNÉS  b e n j e
BAIL  b a j
BAIN  b e~
BAINS  b e~
BAISA  b e^ z a
BAISAIT  b e^ z e^
BAISANT  b e^ z a~
BAISANT  b e^ z a~ t
BAISE  b e^ z
BAISER  b e z e
BAISERS  b e z e
BAISERS  b e z e z
BAISEZ  b e z e
BAISSA  b e^ s a
BAISSAI  b e^ s e^
BAISSAIS  b e^ s e^
BAISSAIT  b e^ s e^
BAISSANT  b e^ s a~
BAISSE  b e^ s
BAISSER  b e s e
BAISSERA  b e^ s r a
BAISSERIEZ  b e^ s x^ r j e
BAISSÈRENT  b e^ s e^ r
BAISSÉ  b e s e
BAISSÉE  b e s e
BAISSÉS  b e s e
BAISÉ  b e z e
BAL  b a l
BAL  b a l q
BALAFRES  b a l a f r x^ z
BALAI  b a l e^
BALAIERAI  b a l e r e^
BALANCEMENT  b a l a~ s m a~
BALANCEMENTS  b a l a~ s m a~
BALANÇAIENT  b a l a~ s e^ t
BALANÇAIT  b a l a~ s e^
BALANÇANT  b a l a~ s a~ t
BALAYER  b a l e j e
BALAYEUSES  b a l e^ j x z
BALBUTIA  b a l b y s j a
BALBUTIAI  b a l b y s j e
BALBUTIANT  b a l b y s j a~
BALCON  b a l k o~
BALDAQUIN  b a l d a k e~
BALEINE  b a l e^ n
BALEINES  b a l e^ n q
BALLE  b a l q
BALLES  b a l
BALLOT  b a l o
BALLOTS  b a l o
BALSAMIQUE  b a l z a m i k
BALUSTRADE  b a l y s t r a d q
BALUSTRE  b a l y s t r
BALZAC  b a l z a k
BAMBOU  b a~ b u
BAMBOUS  b a~ b u
BAN  b a~
BANC  b a~
BANCS  b a~
BANDE  b a~ d q
BANDEAU  b a~ d o
BANDEAUX  b a~ d o
BANDEROLES  b a~ d r o^ l q
BANDES  b a~ d
BANDES  b a~ d q
BANDIT  b a~ d i
BANDITS  b a~ d i
BANK  b a~ n k
BANNETTE  b a n e^ t
BANNIÈRE  b a n j e^ r
BANQUE  b a~ k
BANQUES  b a~ k
BANQUETTES  b a~ k e^ t
BANQUIER  b a~ k j e
BANQUIÈRE  b a~ k j e^ r
BANQUIÈRES  b a~ k j e^ r
BAPTISÉE  b a t i z e
BAPTÊME  b a t e^ m
BAPTÊME  b a t e^ m q
BAQUET  b a k e^
BARBARE  b a r b a r
BARBARES  b a r b a r
BARBARES  b a r b a r x^
BARBE  b a r b q
BARBE  b a r b
BARBES  b a r b q
BARBILLON  b a r b i j o~
BARBOUILLAGES  b a r b u j a z^
BARBUE  b a r b y
BARNABETTE  b a r n a b e^ t
BARNABÉ  b a r n a b e
BARON  b a r o~
BARONNET  b a r o^ n e^
BARQUE  b a r k
BARRANT  b a r a~
BARRE  b a r
BARREAU  b a r o
BARRES  b a r
BARRICADER  b a r i k a d e
BARRIQUES  b a r i k
BARRIÈRE  b a r j e^ r
BARRIÈRES  b a r j e^ r
BARÈGE  b a r e^ z^ q
BAS  b a z
BAS  b a
BASANE  b a z a n q
BASCULA  b a s k y l a
BASE  b a z
BASOCHIEN  b a z o^ s^ j e~
BASQUE  b a s k q
BASQUES  b a s k q
BASQUES  b a s k x^ z
BASQUES  b a s k
BASSE  b a s
BASSE  b a s q
BASSE-COUR  b a s k u r
BASSEMENT  b a s m a~
BASSES  b a s
BASSES  b a s q
BASSES-COURS  b a s k u r
BASSESSE  b a s e^ s
BASSIN  b a s e~
BASSINE  b a s i n
BASSINERAI  b a s i n x^ r e
BAT  b a
BATAILLE  b a t a j
BATAILLER  b a t a j e
BATEAU  b a t o
BATEAU-FLEURS  b a t o f l x^ r
BATEAUX  b a t o
BATEAUX  b a t o z
BATEAUX-FLEURS  b a t o f l x^ r
BATELEUR  b a t x^ l x^ r
BATIGNOLLES  b a t i n j o^ l q
BATISTE  b a t i s t q
BATS  b a
BATTAIENT  b a t e^
BATTAIS  b a t e^
BATTAIT  b a t e^
BATTAIT  b a t e^ t
BATTANT  b a t a~
BATTANTS  b a t a~
BATTE  b a t
BATTEMENT  b a t m a~ t
BATTEMENTS  b a t x^ m a~
BATTENT  b a t
BATTENT  b a t x^ t
BATTERIES  b a t x^ r i
BATTERIES  b a t r i
BATTEZ  b a t e
BATTIRENT  b a t i r t
BATTIT  b a t i
BATTRAIT  b a t r e^ t
BATTRAIT  b a t r e^
BATTRE  b a t r q
